ID,Gene,Variation,Class
3114,RAD51B,hmga2-rad51b fusion,8
2181,PTEN,t131a,4
914,PDGFRA,d846y,7
2156,PTEN,h118p,4
1902,TET1,truncating mutations,1
1293,HRAS,g12a,2
381,TP53,v173e,4
2571,BRCA1,s1297del,5
3069,NOTCH1,v1605del,2
1880,MTOR,c1483w,7
1884,MTOR,m2327i,7
1383,FGFR1,e664k,1
897,PDGFRA,d842_m844del,7
2438,BRCA1,w1837c,1
2549,BRCA1,e1682k,5
705,ERBB2,r678q,2
2901,NF2,k413e,6
1825,RHOA,e40n,8
2622,BRCA1,s1722f,4
3259,RET,c609y,7
853,ABL1,y253h,2
3118,KRAS,q61h,7
1358,AKT1,w80a,7
1820,RHOA,overexpression,7
432,TP53,r213q,4
1365,AKT1,r23a,7
2585,BRCA1,f1662s,5
1949,MEF2B,e77k,4
1792,AR,w742c,7
3203,BCL2L11,deletion,1
1323,MLH1,truncating mutations,1
2669,BRCA1,t1685i,4
1885,MTOR,s2215f,7
1063,EWSR1,ewsr1-nr4a3 fusion,7
1528,ALK,g1123s,7
142,EGFR,g719a,7
2021,MAP2K1,p306h,7
2572,BRCA1,i89t,6
2550,BRCA1,k56n,6
43,DICER1,deletion,1
45,PTPRT,v648g,1
1184,PIK3CA,k111n,2
2094,CDK12,y901c,4
1320,MLH1,r725c,6
472,TP53,a347t,1
838,ABL1,l248v,2
459,TP53,r249m,4
416,TP53,p151s,4
1932,SMO,k575m,2
1398,FGFR3,igh-fgfr3 fusion,7
1322,MLH1,p648l,4
723,ERBB2,l915m,6
1187,PIK3CA,e545k,7
2628,BRCA1,l1267s,5
1549,ALK,l1204f,3
288,BRD4,amplification,7
1450,SPOP,truncating mutations,1
2403,NF1,truncating mutations,1
1457,FGFR2,t730s,5
548,SMAD2,y426a,1
1898,MTOR,a41t,3
2205,PTEN,c136r,4
3188,NRAS,q61k,7
2416,PTPRD,deletion,4
503,TP53,f212y,6
2888,BRCA2,r174c,1
1027,TSC2,r905q,4
514,TP53,r181h,4
780,ERBB3,r669c,6
274,EGFR,g863d,7
91,TGFBR1,c41y,4
1774,XRCC2,truncating mutations,1
1595,VHL,truncating mutations,1
2808,BRCA2,k2411t,6
936,PDGFRB,wdr48-pdgfrb fusion,2
1497,FGFR2,m391r,7
1403,FGFR3,s371c,7
3193,NRAS,g12v,7
2245,PTEN,r161g,4
3004,KIT,v559d,7
1532,ALK,strn-alk fusion,2
118,PBRM1,truncating mutations,1
1864,MTOR,a8s,5
1708,POLE,s459del,1
1568,ALK,c1156y,7
206,EGFR,l747_t751del,7
607,SMAD4,d357y,4
1454,FGFR2,y375c,7
2354,STK11,l67p,4
2667,BRCA1,v1378i,5
1171,PIK3CA,e542g,6
2687,BRAF,l485_p490del,7
1388,FGFR1,bcr-fgfr1 fusion,7
2635,BRCA1,p1856t,6
2728,BRAF,g469a,7
2027,MAP2K1,p124s,7
632,FBXW7,g423r,1
354,EP300,r1627,4
1730,MSH2,r711*,4
1511,ALK,g1123d,7
3075,NOTCH1,l1593p,7
402,TP53,q331h,1
1948,MEF2B,y69h,4
2375,PTPN11,q79r,2
2924,NFE2L2,d29h,7
1326,MLH1,r487*,1
2499,BRCA1,s153r,3
2140,KEAP1,v155f,4
882,PDGFRA,n659k,7
2845,BRCA2,a1170v,6
3150,KRAS,g12v,7
887,PDGFRA,v536e,7
1086,EZH2,a677g,9
410,TP53,s121c,6
1060,EWSR1,ewsr1-etv1 fusion,7
731,ERBB2,n319d,5
3224,NTRK1,cd74-ntrk1 fusion,7
1461,FGFR2,l770v,6
590,SMAD4,r420h,5
752,ERBB2,y1248f,4
1707,PPM1D,422_605trunc,7
1483,FGFR2,s267_d273dup,7
2194,PTEN,h123d,4
1551,ALK,g1269a,7
2519,BRCA1,e1060a,5
464,TP53,c141y,1
272,EGFR,e709a,7
2993,KIT,s501_a502dup,7
1860,MTOR,v2006l,2
2434,BRCA1,d1778h,6
2076,TET2,s1303n,6
3302,RUNX1,r166q,4
901,PDGFRA,d842i,7
113,MSH6,f1088lfs*5,4
1500,FGFR2,e475k,5
2467,BRCA1,h1421y,5
1002,TSC1,g305r,3
612,AURKB,overexpression,2
1862,MTOR,r2430m,3
2374,PTPN11,g503v,2
3176,HNF1A,t196a,3
1136,MET,h1094l,7
3121,KRAS,l19f,7
2385,PTPN11,k590r,8
920,PDGFRA,c456_r481del,7
2955,GNAS,q227r,2
1641,FLT3,d835n,7
2661,BRCA1,s1613c,5
2309,JAK1,r879c,7
1721,KNSTRN,p26s,1
1334,MLH1,t82a,4
770,ERBB2,v794m,2
322,ROS1,lima1-ros1 fusion,2
121,SF3B1,k700r,8
1878,MTOR,t1977i,7
248,EGFR,a767_v769del,2
2425,BRCA1,i68k,6
115,KMT2D,deletion,1
1013,TSC2,v299g,1
2149,PTEN,c124n,4
2698,BRAF,v600m,7
412,TP53,dna binding domain deletions,4
20,CBL,h94y,6
2658,BRCA1,k50e,6
441,TP53,m133t,1
2756,BRAF,e586k,7
743,ERBB2,exon 20 insertions,7
2159,PTEN,r130*,4
824,BRIP1,m299i,6
1834,PPP2R1A,r258c,6
2453,BRCA1,k45n,6
2597,BRCA1,s59r,6
1477,FGFR2,i642v,1
478,TP53,i162m,1
3125,KRAS,v14i,7
2006,MAP2K1,d65n,5
2739,BRAF,l597s,2
2310,JAK1,a634d,7
2333,JAK2,l1026f,6
1535,ALK,m1328i,7
944,PDGFRB,pde4dip-pdgfrb fusion,2
2889,BRCA2,a75p,6
3063,MED12,l1224f,2
801,ERBB4,k935i,7
1545,ALK,d1091n,2
727,ERBB2,v777a,2
1718,KNSTRN,s24f,4
3315,RUNX1,runx1-runx1t1 fusion,4
2431,BRCA1,l1407p,1
427,TP53,e285k,1
621,FBXW7,r479q,4
2868,BRCA2,i2285v,5
1523,ALK,s1206c,7
344,CDH1,a617t,4
2066,SOX9,a19v,3
537,SMAD2,v319d,1
676,CDKN2A,p48l,4
141,EGFR,d770_p772dup,7
2413,PTPRD,v1565i,1
136,SF3B1,r957q,9
1376,AKT2,amplification,7
1631,MAP2K4,r228k,4
1070,ACVR1,g328v,7
1923,SMO,l221r,2
2220,PTEN,d162g,4
428,TP53,dna binding domain insertions,4
2200,PTEN,c105f,4
600,SMAD4,k428a,1
2840,BRCA2,deletion,4
1225,PIK3CB,d1067v,7
1621,VHL,r167w,4
2300,JAK1,s646f,7
587,SMAD4,r515g,4
1267,PIK3R1,n564k,4
1990,MAP2K1,l115r,6
2150,PTEN,c124s,4
2770,BRAF,g466v,7
1680,FLT3,n841i,7
325,ROS1,g1971e,2
517,TP53,y234c,4
3013,KIT,i653t,2
1700,PMS2,l585i,5
2098,CDK12,w719*,4
626,FBXW7,k11r,1
861,ABL1,h396r,2
159,EGFR,e709v,2
2753,BRAF,fusions,2
1137,MET,d1010y,2
1140,MET,x1008_splice,7
2107,B2M,m1k,4
2796,BRCA2,l1904v,6
265,EGFR,p848l,5
2580,BRCA1,i31m,3
266,EGFR,l861f,2
1506,ALK,g1128a,7
787,ERBB4,v348l,3
210,EGFR,l858r,7
2925,NFE2L2,g81s,7
1440,SPOP,s80r,4
1555,ALK,r1060h,3
1270,PIK3R2,k376n,6
1206,PIK3CA,q546r,7
1858,MTOR,l1433s,7
3285,RET,r833c,2
921,PDGFRA,h845_n848delinsp,7
1900,TET1,deletion,1
3170,RAF1,srgap3-raf1 fusion,7
1412,FGFR3,c582f,5
1213,PIK3CA,h1047y,7
3306,RUNX1,w279*,1
3317,RUNX1,a122*,1
1202,PIK3CA,p539r,7
1688,FLT3,y599f,1
