modele;over_sampling;data_mode;model;step;bs;ca;gv_gv;gv;sgv
cbow;False;separate;Softmax;Training;50,85;38,17;54,13;55,07;61,3
cbow;False;separate;Softmax;Test;51,28;37,1;55,66;29,13;51,16
cbow;False;separate;Dense Softmax;Training;56,21;53,53;59,11;60,43;43,27
cbow;False;separate;Dense Softmax;Test;53,09;46,76;58,22;59,73;42,08
cbow;False;separate;CNN Simple;Training;60,58;69,37;60,88;65,07;64,61
cbow;False;separate;CNN Simple;Test;55,65;59,73;60,48;59,97;56,41
cbow;False;separate;CNN Complex;Training;46,59;28,4;52,43;52,47;47,45
cbow;False;separate;CNN Complex;Test;44,34;28,21;52,64;51,89;47,45
cbow;False;concatenate;Softmax;Training;50,55;41,38;55,83;55,07;46,44
cbow;False;concatenate;Softmax;Test;50,83;4284;57,16;55,66;47,51
cbow;False;concatenate;Dense Softmax;Training;52,02;52,32;58,81;62,62;56,43
cbow;False;concatenate;Dense Softmax;Test;50,38;50,52;58,22;58,37;53,24
cbow;False;concatenate;CNN Simple;Training;61,98;77,56;60,92;62,88;61,3
cbow;False;concatenate;CNN Simple;Test;56,56;62,59;61,09;60,78;57,16
cbow;False;concatenate;CNN Complex;Training;35,31;28,59;52,13;50,66;43,27
cbow;False;concatenate;CNN Complex;Test;35,45;28,81;52,94;50,38;42,08
cbow;True;separate;Softmax;Training;41,76;41,57;50,19;56,88;39,27
cbow;True;separate;Softmax;Test;46,3;39,22;54,3;56,71;41,18
cbow;True;separate;Dense Softmax;Training;54,14;58,04;67,64;62,55;60,95
cbow;True;separate;Dense Softmax;Test;54;52,49;59,58;56,71;53,54
cbow;True;separate;CNN Simple;Training;79,75;76,55;64,2;68,82;81,61
cbow;True;separate;CNN Simple;Test;58,07;59,58;58,07;58,82;58,67
cbow;True;separate;CNN Complex;Training;29,97;25,19;48,57;50,75;43,77
cbow;True;separate;CNN Complex;Test;35,9;39,13;47,06;51,89;38,91
cbow;True;concatenate;Softmax;Training;43,24;43,53;50,7;51,74;45,06
cbow;True;concatenate;Softmax;Test;47,81;42,53;53,54;55,66;44,8
cbow;True;concatenate;Dense Softmax;Training;50;42,56;66,45;63,57;66,04
cbow;True;concatenate;Dense Softmax;Test;46;31,98;58,22;56,11;56,11
cbow;True;concatenate;CNN Simple;Training;69,19;67,22;67,85;68,31;73,11
cbow;True;concatenate;CNN Simple;Test;56,41;57,77;61,08;61,09;58,22
cbow;True;concatenate;CNN Complex;Training;30,4;18,39;39,05;45,33;29
cbow;True;concatenate;CNN Complex;Test;23,68;28,96;31,67;43,74;36,5
skipgram;False;separate;Softmax;Training;49,94;45,34;61,41;63,3;59,98
skipgram;False;separate;Softmax;Test;47,21;39,67;62,14;59,88;54,45
skipgram;False;separate;Dense Softmax;Training;52,43;51,08;69,48;69,25;68,8
skipgram;False;separate;Dense Softmax;Test;47,96;47,81;61,84;61,99;56,56
skipgram;False;separate;CNN Simple;Training;77,44;72,65;71,26;71,9;71,86
skipgram;False;separate;CNN Simple;Test;63,8;63,65;59,88;61,09;60,18
skipgram;False;separate;CNN Complex;Training;29,05;36,18;28,71;28,7;42,97
skipgram;False;separate;CNN Complex;Test;29,26;36,05;28,81;28,81;38,91
skipgram;False;concatenate;Softmax;Training;59,19;59,11;61,49;63,37;56,73
skipgram;False;concatenate;Softmax;Test;55,66;55,35;59,28;59,73;54,9
skipgram;False;concatenate;Dense Softmax;Training;65,79;62,43;65,07;71,52;65,56
skipgram;False;concatenate;Dense Softmax;Test;57,77;56,86;61,09;61,84;57,92
skipgram;False;concatenate;CNN Simple;Training;73,97;72,1;71,14;78,73;67,03
skipgram;False;concatenate;CNN Simple;Test;58,82;58,52;61,99;60,94;57,47
skipgram;False;concatenate;CNN Complex;Training;28,67;37,27;36,1;31,5;29,91
skipgram;False;concatenate;CNN Complex;Test;28,96;36,5;36,2;31,22;30,62
skipgram;True;separate;Softmax;Training;61,25;45,34;55,38;68,96;49,86
skipgram;True;separate;Softmax;Test;53,39;39,67;57,32;59,88;50,98
skipgram;True;separate;Dense Softmax;Training;70,06;51,68;72,48;72,92;74,73
skipgram;True;separate;Dense Softmax;Test;57,77;47,81;61,39;62,44;58,97
skipgram;True;separate;CNN Simple;Training;81,9;72,65;72,09;79,82;80,69
skipgram;True;separate;CNN Simple;Test;56,41;63,65;61,84;63,2;59,43
skipgram;True;separate;CNN Complex;Training;35,94;36,18;36,12;41,89;39,24
skipgram;True;separate;CNN Complex;Test;29,11;36,05;29,84;63,8;34,69
skipgram;True;concatenate;Softmax;Training;53;55,62;55,45;6,26;53,49
skipgram;True;concatenate;Softmax;Test;50,98;47,96;57,07;58,67;51,58
skipgram;True;concatenate;Dense Softmax;Training;66,13;69,04;72,14;70,42;74,13
skipgram;True;concatenate;Dense Softmax;Test;54;51,28;60,48;61,09;55,66
skipgram;True;concatenate;CNN Simple;Training;81,37;83,45;75,27;81,73;79,89
skipgram;True;concatenate;CNN Simple;Test;57,92;67,27;62,29;60,78;57,92
skipgram;True;concatenate;CNN Complex;Training;23,06;28,37;33,67;32,7;27,11
skipgram;True;concatenate;CNN Complex;Test;28,35;22,47;29,26;22,02;29,26
